"Id","IsDeleted","LLC_BI__Category__c","LLC_BI__Collapsed_Offer_Card_Field_Set__c","LLC_BI__Default_App__c","LLC_BI__Default_Collateral_Type__c","LLC_BI__Enable_Offers_Auto_Applied_Fees__c","LLC_BI__Expanded_Offer_Card_Field_Set__c","LLC_BI__Interest_Accrual_Method__c","LLC_BI__Is_Deposit__c","LLC_BI__Is_Loan__c","LLC_BI__Is_Mortgage_Insurance_Estimate_Required__c","LLC_BI__Loan_Information_Field_Set__c","LLC_BI__Maintenance_App__c","LLC_BI__Offer_Fieldset__c","LLC_BI__Product_Count__c","LLC_BI__Product_Line__c","LLC_BI__Product_State_Booked_Config_Count__c","LLC_BI__Product_State_Closed_Config_Count__c","LLC_BI__Product_State_Excluded_Config_Count__c","LLC_BI__Product_State_Rdy_To_Trans_Confg_Cnt__c","LLC_BI__Recalculate_Offers_Field_Set__c","LLC_BI__Reference_Image__c","LLC_BI__Start_Production_Application__c","LLC_BI__Usage_Type__c","LLC_BI__configKey__c","LLC_BI__lookupKey__c","Name","cm_Days_to_Close__c","cm_Static_Name__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","nPortal__Online_Application_Header_Text__c","nPortal__Online_Application_Subheader_Text__c","nRetail__Display_Monthly_Expenses__c"
"a0tbn000008f3QNAAY","false","Certificate of Deposit","","","","false","","","true","false","false","","","","2.0","a0obn000000HlYqAAK","0.0","0.0","0.0","0.0","","","","Global","KY_PT_00004212","42036456656074415","CD","","CD","false","","","","false"
"a0tbn000008f3QMAAY","false","","","","","false","","","false","false","false","","","","2.0","a0obn000000KpHhAAK","0.0","0.0","0.0","0.0","","","","Global","KY_PT_00004211","42147076811944258","Ancillary Services","","Ancillary Services","false","","","","false"
"a0tbn000008f3QOAAY","false","Savings","","","","false","","","true","false","false","","","","3.0","a0obn000000HlYqAAK","0.0","0.0","0.0","0.0","","","","Global","KY_PT_00004213","42294565864130575","Savings","","Savings","false","","","","false"
"a0tbn000008f3QLAAY","false","Checking","","","","false","","","true","false","false","","","","4.0","a0obn000000HlYqAAK","0.0","0.0","0.0","0.0","","","","Global","KY_PT_00004210","42997356463484892","Checking","","Checking","false","","","","false"
"a0tbn000007pcYlAAI","false","","","","","false","","","false","true","false","","","","2.0","a0obn000000HlYnAAK","5.0","6.0","0.0","0.0","","","","Loan","KY_PT_00004204","PT-Agricul0578642","Agriculture","","","false","","","","false"
"a0tbn000007pcYkAAI","false","","","","","false","","","true","false","false","","","","1.0","a0obn000000HlYqAAK","4.0","0.0","0.0","0.0","","","","Loan","KY_PT_00000003","PT-BusBanking","Business Banking","","","false","","","","false"
"a0tbn000008f3QPAAY","false","Checking","","","","false","","","true","false","false","","","","2.0","a0obn000000KpHiAAK","0.0","0.0","0.0","0.0","","","","Global","KY_PT_00004214","PT-Checkin0338290","Checking","","Checking","false","","","","false"
"a0tbn000007pcYfAAI","false","","","","","false","","","false","true","false","","","","9.0","a0obn000000HlYnAAK","5.0","6.0","0.0","0.0","","","","Loan","KY_PT_00000001","PT-Com-RE","Real Estate","","","false","","","","false"
"a0tbn000007pcYnAAI","false","","","","","false","","","false","true","false","","","","4.0","a0obn000000HlYnAAK","5.0","6.0","0.0","0.0","","","","Loan","KY_PT_00004206","PT-Constru0651195","Construction","","","false","","","","false"
"a0tbn000008f3QXAAY","false","","IBCL_Collapsed_Offer_Card_Summary","","","false","IBCL_Expanded_Offer_Card_Summary","","false","true","false","","","","1.0","a0obn000000HlYoAAK","0.0","0.0","0.0","0.0","IBCL_Recalculate_Offers","","","Loan","KY_PT_00004222","PT-Consume0047616","Consumer - Real Estate Installment","","Consumer - Real Estate Installment","false","","","","false"
"a0tbn000008f3QVAAY","false","","IB_Credit_Card_Collapsed","","","false","Credit_Card_Expanded","","false","true","false","","","","1.0","a0obn000000HlYoAAK","0.0","0.0","0.0","0.0","","","","Loan","KY_PT_00004220","PT-Consume0396854","Consumer - Credit Card","","Consumer - Credit Card","false","","","","false"
"a0tbn000007pcYgAAI","false","HELOC","","veh-loan-grp","","false","","","false","true","false","","","","1.0","a0obn000000HlYoAAK","0.0","0.0","0.0","0.0","","","","Loan","KY_PT_00004200","PT-Consume0541007","Consumer Real Estate","","","false","","","","false"
"a0tbn000007pcYjAAI","false","","","","","false","","","false","true","false","","","","0.0","a0obn000000HlYoAAK","0.0","0.0","0.0","0.0","","","","Loan","KY_PT_00004201","PT-Consume0771309","Consumer Non-Real Estate","","","false","","","","false"
"a0tbn000008f3QTAAY","false","","IBCL_Collapsed_Offer_Card_Summary","","","false","IBCL_Expanded_Offer_Card_Summary","","false","true","false","","","","8.0","a0obn000000HlYoAAK","1.0","1.0","0.0","0.0","IBCL_Recalculate_Offers","","","Loan","KY_PT_00004218","PT-Consume0839948","Consumer - Non-Real Estate Installment","","Consumer - Non-Real Estate Installment","false","","","","false"
"a0tbn000008f3QWAAY","false","","IBCL_Collapsed_Offer_Card_Summary","","","false","IBCL_Expanded_Offer_Card_Summary","","false","true","false","","","","1.0","a0obn000000HlYoAAK","0.0","0.0","0.0","0.0","IBCL_Recalculate_Offers","","","Loan","KY_PT_00004221","PT-Consume0843751","Consumer - Real Estate Line of Credit","","Consumer - Real Estate Line of Credit","false","","","","false"
"a0tbn000008f3QUAAY","false","","LOC_Collapsed","","","false","LOC_Expanded","","false","true","false","","","","2.0","a0obn000000HlYoAAK","0.0","0.0","0.0","0.0","IBCL_Recalculate_Offers","","","Loan","KY_PT_00004219","PT-Consume0923009","Consumer - Non-Real Estate Line of Credit","","Consumer - Non-Real Estate Line of Credit","false","","","","false"
"a0tbn000008f3QSAAY","false","IRA","","","","false","","","true","false","false","","","","2.0","a0obn000000HlYqAAK","0.0","0.0","0.0","0.0","","","","Global","KY_PT_00004217","PT-IRA09238403652","IRA","","IRA","false","","","","false"
"a0tbn000007pcYhAAI","false","","","","","false","","","false","true","false","","","","6.0","a0obn000000HlYnAAK","5.0","6.0","0.0","0.0","","","","Loan","KY_PT_00004198","PT-NonReal0808040","Non-Real Estate","","","false","","","","false"
"a0tbn000008H0TeAAK","false","","SBL_Collapsed_Offer_Card_Summary","","","false","SBL_Expanded_Offer_Card_Summary","","false","true","false","","","SB_Collapsed_Offer_Card_Summary_cm","2.0","a0obn000000J3yHAAS","5.0","7.0","0.0","0.0","SBL_Recalculate_Offers","","session-redirect","Loan","KY_PT_00004208","PT-NonReal0872933","Small Business Non-Real Estate","","Small Business Non-Real Estate","false","","","","false"
"a0tbn000008H0TfAAK","false","","SBL_Collapsed_Offer_Card_Summary","","","false","SBL_Expanded_Offer_Card_Summary","","false","true","false","","","","2.0","a0obn000000J3yHAAS","5.0","7.0","0.0","0.0","SBL_Recalculate_Offers","","session-redirect","Loan","KY_PT_00004209","PT-RealEst0789302","Small Business Real Estate","","Small Business Real Estate","false","","","","false"
"a0tbn000008f3QQAAY","false","Savings","","","","false","","","true","false","false","","","","1.0","a0obn000000KpHiAAK","0.0","0.0","0.0","0.0","","","","Global","KY_PT_00004215","PT-Savings0958900","Savings","","Savings","false","","","","false"
"a0tbn000008f3QRAAY","false","IRA","","","","false","","","true","false","false","","","","1.0","a0obn000000HlYqAAK","0.0","0.0","0.0","0.0","","","","Global","KY_PT_00004216","PT-TaxFavo0574259","Tax Favored Account Plan","","Tax Favored Account Plan","false","","","","false"
"a0tbn000008H0TdAAK","false","","SBL_Collapsed_Offer_Card_Summary","","","false","SBL_Expanded_Offer_Card_Summary","","false","true","false","","","","3.0","a0obn000000J3yHAAS","5.0","7.0","0.0","0.0","SBL_Recalculate_Offers","","session-redirect","Loan","KY_PT_00004207","PT-Unsecur0066628","Small Business Unsecured","","Small Business Unsecured","false","","","","false"
"a0tbn000007pcYmAAI","false","","","","","false","","","false","true","false","","","","4.0","a0obn000000HlYnAAK","5.0","6.0","0.0","0.0","","","","Loan","KY_PT_00004205","PT-Unsecur0590904","Unsecured","","","false","","","","false"
"a0tbn000007pcYiAAI","false","","","","","false","","","false","false","false","","","","1.0","a0obn000000HlYpAAK","0.0","0.0","0.0","0.0","","","","Treasury Management","KY_PT_00004199","a0tbn000007pcYiAAI","Electronic Payments","","","false","","","","false"
